#Measurement, Acceleration X, Acceleration Y, Acceleration Z, Rotation Alpha, Rotation Beta, Rotation Gamma, Orientation Alpha, Orientation Beta, Orientation Gamma 
40, -0.8575098514556885, -0.7819995880126953, -1.1448369026184082, -0.82330322265625, -0.1207275390625, 0.587890625, 119.01461260220988, -129.49742983122027, -40.71466950883894 
41, -1.3264856338500977, -1.5114006996154785, -1.5882568359375, -0.54986572265625, -0.07373046875, 0.527008056640625, 119.73576465386098, -135.7005301437088, -41.26712092421452 
42, -2.0606884956359863, -2.7935400009155273, -2.9002346992492676, -0.023284912109375, 0.100372314453125, 0.19696044921875, 119.27873092667133, -138.97119649320825, -41.98972002647923 
43, -2.2071027755737305, -3.5286478996276855, -2.6169509887695312, 0.56097412109375, 0.119598388671875, -0.468475341796875, 118.63991624878818, -137.91240398532594, -41.809745063490716 
44, -0.6384258270263672, -1.363152027130127, -1.10795259475708, 0.726531982421875, 0.187957763671875, -0.759002685546875, 119.01861274248587, -132.79240679880988, -40.71571066878685 
45, 0.2096848487854004, 0.7211651802062988, -0.2866806983947754, 0.653900146484375, -0.269195556640625, -0.78570556640625, 120.65328390524424, -126.05986997018404, -38.84878954976029 
46, -0.04749464988708496, 1.2185945510864258, 0.23482847213745117, 0.767120361328125, -0.22113037109375, -0.823089599609375, 122.79165325740539, -120.0911684968892, -38.564528833379754 
47, 0.4111778736114502, 1.7393226623535156, 0.38341188430786133, 0.7041015625, -0.0438232421875, -0.668212890625, 124.8315108921786, -113.91080489652883, -37.91475597679852 
48, 0.4867135286331177, 2.796926498413086, 0.14417552947998047, 0.594085693359375, -0.19549560546875, -0.3050537109375, 124.618393829653, -107.9655494212069, -38.54975796824173 
49, -1.2426459789276123, 1.1474990844726562, -0.035980939865112305, 0.352691650390625, -0.01605224609375, 0.052764892578125, 121.94677854202045, -104.63970824207544, -41.793988383605935 
50, 0.6745150089263916, 1.8834247589111328, 0.6035710573196411, 0.23626708984375, 0.06085205078125, -0.00811767578125, 117.85225920032751, -102.5166983304639, -45.085267540911524 
51, 1.2135388851165771, 1.1922760009765625, 0.8973085880279541, -0.03289794921875, 0.010650634765625, 0.19696044921875, 112.2120158453128, -102.0718733800043, -50.231914108849175 
52, 1.4091814756393433, -0.2995443344116211, 1.4326616525650024, -0.24652099609375, 0.006378173828125, 0.2503662109375, 109.7051243604308, -104.33481794881958, -52.56771603604537 
53, 0.6235084533691406, 3.3224077224731445, 0.5327854156494141, -0.34051513671875, 0.24456787109375, 0.375335693359375, 109.3565365340901, -106.19089750009248, -52.52342290125681 
54, -0.38088488578796387, 0.8562421798706055, 0.21960854530334473, -0.8724365234375, 0.042694091796875, 0.383880615234375, 114.9517863917152, -110.61512706487309, -45.60520005976406 
55, -0.58902907371521, -0.9499654769897461, -0.23167085647583008, -0.877777099609375, 0.293701171875, 0.539825439453125, 116.9273517290477, -116.19843341057722, -42.48255578720997 
56, -0.26875782012939453, 0.028736114501953125, -0.4564039707183838, -0.700469970703125, 0.1826171875, 0.51312255859375, 116.78240980399802, -121.2850968735349, -41.54593344484588 
57, -0.12118887901306152, -0.6135983467102051, -0.5736865997314453, -0.587249755859375, 0.06939697265625, 0.5323486328125, 116.74038742755485, -126.01262845483683, -40.79219608358838 
58, -0.1646571159362793, -1.0057344436645508, -0.3281536102294922, -0.587249755859375, -0.0523681640625, 0.586822509765625, 116.4503068898493, -130.6445788831172, -40.729212502422115 
59, -1.3725652694702148, -1.4970645904541016, -0.9601702690124512, -0.486846923828125, -0.1292724609375, 0.44049072265625, 116.12336547668858, -135.83262904277808, -41.337905942784076 
60, -1.2328853607177734, -2.1162643432617188, -0.9531211853027344, -0.193115234375, -0.111114501953125, 0.32086181640625, 115.8804896606724, -139.27929711266754, -42.33911489810664 
61, -1.768458366394043, -1.916879653930664, -2.3606581687927246, 0.284332275390625, 0.100372314453125, -0.21746826171875, 115.3736804885333, -140.15290003122595, -42.98711701783019 
62, -0.7267546653747559, -1.845313549041748, -1.5182442665100098, 0.589813232421875, 0.151641845703125, -0.719482421875, 115.49295594950486, -137.06851457634846, -42.35931686465065 
63, -0.5416676998138428, -0.022801876068115234, -1.0574650764465332, 0.4990234375, -0.06732177734375, -0.803863525390625, 117.14143840998808, -130.89698987109688, -40.20930917354534 
64, -0.3291802406311035, 0.1724543571472168, -0.1271510124206543, 0.5545654296875, -0.3258056640625, -0.831634521484375, 119.69586144431904, -125.79204692368953, -38.87214343442712 
65, 0.4966604709625244, 1.4490413665771484, 0.2849857807159424, 0.84722900390625, -0.1634521484375, -0.846588134765625, 122.65246601796015, -119.80488168110229, -38.29758133089943 
66, 0.31114912033081055, 2.9110546112060547, 0.032972097396850586, 0.60797119140625, -0.08868408203125, -0.541107177734375, 124.65781821502651, -113.7932456600124, -37.24983127062579 
67, 0.3119579553604126, 1.5061111450195312, 0.5575029850006104, 0.4178466796875, -0.19976806640625, -0.18756103515625, 124.31260092553939, -109.9718237949937, -38.31071574595971 
68, 0.7302314043045044, 0.9762763977050781, 0.8158948421478271, 0.239471435546875, 0.054443359375, 0.020721435546875, 121.52747223455563, -107.83338923182393, -41.701837686284506 
69, 0.7275934219360352, 0.7934160232543945, 1.5947234630584717, 0.077117919921875, 0.14202880859375, 0.123260498046875, 118.2861178299659, -106.6586031176773, -43.98341329023441 
70, 0.2657245397567749, 1.5881538391113281, 0.894656777381897, -0.2315673828125, -0.040618896484375, 0.2503662109375, 115.39870243101421, -107.06337504663142, -46.00104916751324 
71, -0.4912545680999756, -0.766087532043457, 2.831425428390503, -0.40887451171875, 0.14202880859375, 0.388153076171875, 115.45238434037635, -109.83990447556339, -45.69065517408172 
72, 0.4289252758026123, 3.472386360168457, -2.064168691635132, -0.758148193359375, 0.16552734375, 0.341156005859375, 116.18852766697312, -112.42372360804693, -45.02582893780219 
73, 0.13374018669128418, -0.8400020599365234, 0.09848713874816895, -0.69085693359375, 0.380218505859375, 0.644500732421875, 120.51289267872006, -117.77713130678026, -40.49424170894461 
74, -0.775942325592041, 0.7440342903137207, -0.6844227313995361, -0.559478759765625, 0.313995361328125, 0.646636962890625, 119.75685701471579, -122.6912384262374, -39.69045667588384 
75, 0.7976093292236328, 0.26339149475097656, -0.3668479919433594, -0.514617919921875, 0.122802734375, 0.73101806640625, 117.44128135949171, -128.49749882907463, -39.98524266400537 
76, -0.6685166358947754, 0.7049307823181152, -1.1216001510620117, -0.68231201171875, -0.119659423828125, 0.70751953125, 115.54600812898256, -133.95338543014512, -40.798929141812096 
77, -1.5110535621643066, -1.320122241973877, -1.681300163269043, -0.60113525390625, -0.099365234375, 0.4468994140625, 114.99076400075556, -139.42831975979215, -41.84065562519716 
78, -2.825169086456299, -3.216674327850342, -2.6492037773132324, -0.021148681640625, 0.044830322265625, 0.03887939453125, 115.5434031794505, -142.67167820836892, -41.86689879698791 
79, -1.7909860610961914, -2.7218375205993652, -2.0302629470825195, 0.6229248046875, 0.072601318359375, -0.645782470703125, 115.58753635783225, -141.0849067183302, -41.74822158294782 
80, -0.35797977447509766, -0.37484121322631836, -1.1765499114990234, 0.5887451171875, 0.057647705078125, -0.865814208984375, 116.42141873065158, -135.817787166607, -40.66838855072778 
81, 0.08580231666564941, 1.4049668312072754, -0.5014939308166504, 0.59515380859375, -0.341827392578125, -0.897857666015625, 119.2023938846389, -129.04862791720745, -38.65222346101515 
82, -0.19944500923156738, 1.2253093719482422, 0.4012784957885742, 0.7425537109375, -0.318328857421875, -0.857269287109375, 122.33422806918327, -123.30707578897032, -37.925166879773506 
83, 0.1468348503112793, 1.883941650390625, 0.46429967880249023, 0.507568359375, -0.065185546875, -0.628692626953125, 125.68178009404797, -116.23445799271255, -36.94558134379946 
84, 0.2374039888381958, 2.0805673599243164, 0.30196499824523926, 0.44989013671875, -0.23394775390625, -0.325347900390625, 127.3001915177202, -111.93120323093729, -36.17049052818828 
85, 1.15313720703125, 1.0660219192504883, 1.2216885089874268, 0.19140625, -0.03955078125, 0.024993896484375, 126.33284940518567, -109.02073106963906, -38.691600294678366 
